task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
121	77/12c5f4	284849	kraken_pipeline:progressive_kraken_reports (17)	COMPLETED	0	2023-09-25 06:11:41.074	16.2s	14.8s	99.4%	407.5 MB	2.4 GB	44.1 MB	24.9 MB
119	8e/49a66d	284527	kraken_pipeline:makeReport (11)	COMPLETED	0	2023-09-25 06:11:40.034	18.3s	16.9s	103.6%	421.9 MB	2.4 GB	46 MB	27.3 MB
124	50/02d510	289161	kraken_pipeline:output (13)	COMPLETED	0	2023-09-25 06:11:59.372	1.2s	8ms	72.7%	0	0	55.7 KB	201 B
50	b8/e24778	287753	kraken_pipeline:kraken2_client (19)	COMPLETED	0	2023-09-25 06:11:51.397	14.8s	14.3s	104.1%	411.6 MB	2.4 GB	44.1 MB	24.9 MB
120	10/eb4c23	284839	kraken_pipeline:progressive_bracken (12)	COMPLETED	0	2023-09-25 06:11:41.054	29.3s	28.1s	110.7%	407.1 MB	2.4 GB	454.2 MB	24.9 MB
122	c9/7d030c	288537	kraken_pipeline:progressive_stats (18)	COMPLETED	0	2023-09-25 06:11:57.175	15.5s	14s	105.3%	408.2 MB	2.4 GB	44.2 MB	25 MB
123	57/dd8834	288852	kraken_pipeline:progressive_kraken_reports (18)	COMPLETED	0	2023-09-25 06:11:58.256	15.8s	14.6s	104.0%	417.2 MB	2.4 GB	44.1 MB	24.9 MB
51	40/95ec8e	290377	kraken_pipeline:kraken2_client (20)	COMPLETED	0	2023-09-25 06:12:06.257	14.5s	14s	104.2%	422.6 MB	2.4 GB	44.1 MB	24.9 MB
125	73/277a51	291215	kraken_pipeline:makeReport (12)	COMPLETED	0	2023-09-25 06:12:11.386	18.3s	16.6s	98.3%	415.2 MB	2.4 GB	46 MB	27.3 MB
127	e9/167c15	291892	kraken_pipeline:progressive_stats (19)	COMPLETED	0	2023-09-25 06:12:13.695	16.1s	14.7s	103.6%	410.8 MB	2.4 GB	44.2 MB	25 MB
128	a5/e76073	292304	kraken_pipeline:progressive_kraken_reports (19)	COMPLETED	0	2023-09-25 06:12:15.100	16s	14.6s	103.7%	411.2 MB	2.4 GB	44.1 MB	24.9 MB
129	18/6e5184	295543	kraken_pipeline:output (14)	COMPLETED	0	2023-09-25 06:12:29.802	1.5s	8ms	72.7%	0	0	55.7 KB	201 B
52	9e/2ec10a	293908	kraken_pipeline:kraken2_client (21)	COMPLETED	0	2023-09-25 06:12:20.807	14.6s	14s	103.8%	420.1 MB	2.4 GB	44.1 MB	24.9 MB
126	65/5e0ffc	291225	kraken_pipeline:progressive_bracken (13)	COMPLETED	0	2023-09-25 06:12:11.399	28.8s	27.4s	110.9%	405.8 MB	2.4 GB	454.2 MB	24.9 MB
130	80/6ec877	295805	kraken_pipeline:progressive_stats (20)	COMPLETED	0	2023-09-25 06:12:30.819	15.3s	13.9s	105.8%	412 MB	2.4 GB	44.2 MB	25 MB
131	75/725d59	296073	kraken_pipeline:progressive_kraken_reports (20)	COMPLETED	0	2023-09-25 06:12:32.294	15.1s	13.9s	104.8%	414 MB	2.4 GB	44.1 MB	24.9 MB
53	ad/92aa1a	296694	kraken_pipeline:kraken2_client (22)	COMPLETED	0	2023-09-25 06:12:35.397	14.8s	14.3s	104.3%	418.4 MB	2.4 GB	44.1 MB	24.9 MB
132	05/7b51a3	297907	kraken_pipeline:makeReport (13)	COMPLETED	0	2023-09-25 06:12:41.256	17.5s	16.3s	103.3%	409.8 MB	2.4 GB	46 MB	27.4 MB
136	db/fbdbd5	302241	kraken_pipeline:output (15)	COMPLETED	0	2023-09-25 06:12:58.781	1.1s	9ms	76.2%	0	0	55.7 KB	201 B
134	18/9488c0	299345	kraken_pipeline:progressive_stats (21)	COMPLETED	0	2023-09-25 06:12:47.118	15.6s	14.6s	105.0%	424.3 MB	2.4 GB	44.2 MB	25 MB
135	04/e4aef3	299709	kraken_pipeline:progressive_kraken_reports (21)	COMPLETED	0	2023-09-25 06:12:48.371	15.5s	14.4s	104.7%	415.4 MB	2.4 GB	44.1 MB	24.9 MB
133	a4/391269	297915	kraken_pipeline:progressive_bracken (14)	COMPLETED	0	2023-09-25 06:12:41.270	32.2s	31s	110.8%	413.5 MB	2.4 GB	458.2 MB	24.9 MB
137	d3/d08cf6	302771	kraken_pipeline:progressive_stats (22)	COMPLETED	0	2023-09-25 06:13:02.910	16.3s	14.9s	106.0%	411.8 MB	2.4 GB	44.2 MB	25 MB
138	43/96fa60	303005	kraken_pipeline:progressive_kraken_reports (22)	COMPLETED	0	2023-09-25 06:13:04.106	16.1s	15s	104.0%	422 MB	2.4 GB	44.1 MB	24.9 MB
139	2f/818212	304496	kraken_pipeline:makeReport (14)	COMPLETED	0	2023-09-25 06:13:13.588	17.6s	16.4s	104.0%	415 MB	2.4 GB	46 MB	27.4 MB
141	8e/8c51dd	306712	kraken_pipeline:output (16)	COMPLETED	0	2023-09-25 06:13:31.253	1s	9ms	61.5%	1 MB	3.8 MB	55.7 KB	201 B
54	34/08e40b	300331	kraken_pipeline:kraken2_client (23)	COMPLETED	0	2023-09-25 06:12:50.241	45.8s	45.3s	51.7%	413.9 MB	2.4 GB	124.1 MB	31.2 MB
144	7e/9852c0	307050	kraken_pipeline:stop_kraken_server	COMPLETED	0	2023-09-25 06:13:36.169	523ms	15ms	50.0%	1008 KB	3.8 MB	70.3 KB	261 B
34	2d/55e8d9	222501	kraken_pipeline:kraken_server	COMPLETED	0	2023-09-25 06:05:44.614	7m 52s	7m 52s	22.0%	995.8 MB	2 GB	620.8 MB	5.7 KB
140	44/b8b274	304537	kraken_pipeline:progressive_bracken (15)	COMPLETED	0	2023-09-25 06:13:13.790	27.2s	25.9s	113.2%	435.2 MB	2.4 GB	458.2 MB	24.9 MB
143	c9/f54f17	307081	kraken_pipeline:progressive_stats (23)	COMPLETED	0	2023-09-25 06:13:36.208	14.7s	13.7s	106.2%	423.1 MB	2.4 GB	44.2 MB	25 MB
142	c8/d2a7fd	307184	kraken_pipeline:progressive_kraken_reports (23)	COMPLETED	0	2023-09-25 06:13:36.392	14.9s	13.8s	106.1%	411.6 MB	2.4 GB	44.1 MB	24.9 MB
145	ec/1255f6	308181	kraken_pipeline:makeReport (15)	COMPLETED	0	2023-09-25 06:13:41.118	16.9s	15.9s	103.1%	420.6 MB	2.4 GB	46.1 MB	27.6 MB
147	1b/83cf9c	310516	kraken_pipeline:output (17)	COMPLETED	0	2023-09-25 06:13:58.115	897ms	6ms	100.0%	0	0	55.7 KB	202 B
