task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
130	ed/1a57b2	180291	kraken_pipeline:progressive_stats (19)	COMPLETED	0	2023-09-25 04:17:25.934	16.4s	15.2s	104.7%	408.2 MB	2.4 GB	44.2 MB	25 MB
131	15/48958d	180704	kraken_pipeline:progressive_kraken_reports (19)	COMPLETED	0	2023-09-25 04:17:27.241	15.9s	14.7s	103.8%	418.5 MB	2.4 GB	44.1 MB	24.9 MB
128	30/5570f5	179611	kraken_pipeline:makeReport (13)	COMPLETED	0	2023-09-25 04:17:23.897	22.6s	21.1s	98.8%	408.7 MB	2.4 GB	46.1 MB	27.8 MB
134	dd/2d90de	184924	kraken_pipeline:output (15)	COMPLETED	0	2023-09-25 04:17:47.493	1.2s	9ms	72.7%	0	0	55.7 KB	201 B
52	51/3f2092	182408	kraken_pipeline:kraken2_client (21)	COMPLETED	0	2023-09-25 04:17:33.932	15.8s	15.2s	103.9%	416.4 MB	2.4 GB	44.1 MB	24.9 MB
129	66/91da0c	179620	kraken_pipeline:progressive_bracken (14)	COMPLETED	0	2023-09-25 04:17:23.910	30.7s	29.3s	109.8%	424.6 MB	2.4 GB	454.2 MB	24.9 MB
132	67/77fa89	183946	kraken_pipeline:progressive_stats (20)	COMPLETED	0	2023-09-25 04:17:43.183	16.8s	15.3s	104.3%	410.1 MB	2.4 GB	44.2 MB	25 MB
133	8a/4f6889	184188	kraken_pipeline:progressive_kraken_reports (20)	COMPLETED	0	2023-09-25 04:17:44.200	16.5s	15.2s	103.2%	410.2 MB	2.4 GB	44.1 MB	24.9 MB
53	57/cac183	185359	kraken_pipeline:kraken2_client (22)	COMPLETED	0	2023-09-25 04:17:49.709	16.1s	15.5s	104.1%	417.5 MB	2.4 GB	44.1 MB	24.9 MB
137	09/6605f5	187731	kraken_pipeline:progressive_stats (21)	COMPLETED	0	2023-09-25 04:18:00.691	17.1s	15.8s	104.0%	408.3 MB	2.4 GB	44.2 MB	25 MB
138	6f/86f5b7	188083	kraken_pipeline:progressive_kraken_reports (21)	COMPLETED	0	2023-09-25 04:18:01.716	17.1s	15.7s	103.1%	410.5 MB	2.4 GB	44.1 MB	24.9 MB
135	ad/17cc1e	186522	kraken_pipeline:makeReport (14)	COMPLETED	0	2023-09-25 04:17:55.659	23.2s	22.1s	102.6%	420.9 MB	2.4 GB	46.1 MB	27.9 MB
141	cd/615fd2	191507	kraken_pipeline:output (16)	COMPLETED	0	2023-09-25 04:18:18.982	1.4s	9ms	66.7%	1.1 MB	3.8 MB	55.7 KB	201 B
